date,rating,comment
2022-12-06,5,phenobenal treatment!
2022-12-06,2,"We took the Paris night bike tour hoping to get a good overview of basic sites and more importantly get a feel for biking around the city. This was such a disappointing experience. I am honestly surprised by the 5 star reviews. My husband and I have taken bike tours in other cities before and found them to be a great experience. From the moment we showed up at the green bikes meet up spot, things seemed really disorganized and chaotic. We were rushed to get bikes and bright yellow safety vests (which I am not mocking, it was a good idea to be very visible given the terrible instructions we were given at very busy traffic intersections during rush hour) and given very limited instructions. Our tour guide was a very sweet and personable (college-age I'm guessing?) woman that I believe was in over her head. She made it clear that the locals do not like the tour company and will give us a hard time wherever we go. That being said, we were instructed to push our way through intersections, block crosswalks, cut cars and pedestrians off and generally be a nuisance. Methinks not indeed! No wonder the locals don't like the tour company! The group was way too large to navigate the route that was chosen for us. A tour like this should have ten people tops and ours had 20-22 people in it. We were mortified at every turn. To make things worse, our guide thought it necessary (and funny?) to deliver her limited tour information in a really bad French accent. If I was a local (or another tourist) walking by, I'd be a little peeved. We come to cities to learn about the culture and the sights and respect the environment in which we are inserting ourselves - not mock it and be a nuisance! The tour was so bad, we tried to skip the boat portion at the end, but couldn't because we had to return the bikes to the shop with everyone else. We drank our free wine and looked longingly at the people sitting on the river's edge drinking and eating and having what had to be a better time than us. Maybe it was us, maybe it was an off day, who knows. Perhaps Paris is not that bike friendly of a city. Either way, we did not enjoy the night bike tour."
2022-12-06,4,"Great service, very friendly people. Our tour guide Peter was excellent and very upbeat even though it rained the whole way. Would definitely go again!"
2022-12-06,5,"amazing tour, we felt safe and an illuminated paris is completely enchanting. The tours were informative and our guide, Michelle was funny and warm"
2022-11-06,4,"Tour was informative, fun and generally a great way to learn a bit about Paris. The only issue was timing as we waited 20 minutes to get a bike. The biking isn't bad at all, but some of the spots were a bit dodgy with traffic as they drive dangerously in Paris and the bike paths are non-existant in some places"
2022-11-06,1,"Do not buy tickets through this company. Booked tickets for Louvre, showed up on time with confirmation and was told by a completely incompetent person checking people in that 'sorry, I don't have you on my list so you aren't on the tour.' Well, when I have all the confirmation emails, proof of payment, etc.. that answer is simply not acceptable. When speaking to the manager I was also told, 'we understand you paid and have a confirmation email, but you aren't going on the tour.' After refusing to take this as an answer, access was finally given. The girl even made a comment about how the worst part of her job is telling people who show up with confirmations that they don't have them on the list. So this happens on a regular basis?! If you want security when booking tours on your Paris holiday, do not book this company. Complete frauds."
2022-11-06,1,"DO NOT use this company!!! They are crooks. Booked the Night tour, they left without my family. Would not refund my money. HORRIBLE SERVICE. Save yourself the trouble!"
2022-10-06,3,"Great tour and guide but slightly marred by the fact the 4 hr bike tour was in fact a 3 hour tour plus an hour in the tour guides ""favourite"" cafe. I'll decide where I'll have lunch and it won't be a place that charges 5 euros for a 330mL can of fanta. That cafe owner must be very happy that green bikess delivers at least 4 groups of 16 tired and thirsty tourists to him everyday."
2022-10-06,5,"Great way to see Paris in a few hours! Our guide Tarik was amazing: fun, detailed and ensured everyone was safe! I would 100% recommend this! We’ve got so much ground covered, a great intro to the city!"
2022-10-06,5,"This was my second green bikes Bike Tour and it didn’t disappoint. Our guide was Annie from Ireland and she was friendly, easygoing and knowledgable. Paris was more hair raising than Berlin (my first green bikes experience) as it’s a much busier city packed with tourists so you need to concentrate to avoid any mishaps! We did the night hour tour which included a 45 mins stop for lunch at a restaurant. This is a great way to see a city and it beats the traditional bus tours hands down. If you’ve not done it before, give it a go! You won’t be disappointed:-)"
2022-10-06,1,A tour just cut in front of us at a very tight junction near Rue de Rivoli of the cyclists nearly ran me off the road desperate to keep up with the tour guide who had gone ahead. Didn't look safe or fun and made my personal cycle rather difficult!
2022-10-06,1,"A scam, they sell you a ticket that is not valid for access to the top of the Eiffel Tower and on top of that you have to wait 1 hour and a half and pay 4 times more, you only save the queue for the tickets, very bad organisation of the climb to the Eiffel Tower."
2022-10-06,1,"I would give this company zero if I could since they ruined my boat trip on the seine, Anyone reading this and planning a trip to take the fly boat should read this. I finally had the means to take my family on a European vacation, one of the biggest highlights was going to the top of the Eiffel Tower summit and river cruise. Unfortunately green bikes tours was the only tickets I could find you can get tickets straight from the fly boat web site for half the price, anyways do your homework. We had a few days before our tour date so I emailed them and asked about parking since I was driving a rental car. Since they already had my money the had no reason to help me out and give me any information about the parking situation. The day we arrived to go on the tour we arrived about 20 min early due to traffic. I drove around and around looking for a spot with no luck. We pulled up so my wife and twin 10 year old girls could get out and see if we could get some assistance from the people at green bikes Tours. The guy just pointed his finger and said go down the stree and there will be parking. I drove and drove with no luck. Finally I went back and had to tell my family to go without me so I wouldn't hold up the tour. (What a total let down) so while my wife was on the tour the tour guide told her she wasn't really sure if there was parking but heard that there was. What a joke!!! Sendng me somewhere they didn't even know if there was parking! I then after a day of disappointment emailed green bikes Tours and let them know how I felt and the situation. All they had to say is it was my fault and that I should have known the parking situation. WTH!! I'm from the states and I emailed the people who run a second rate tour company to get the info without any luck. F*$Kers. Anyways I know people read these so if anyone wants to help me make a statement and avoid this company and spread the word with your friends it would be much appreciated. If you are looking for a bike tour use this comany they were half the price of green bikes Bike About Tours, they were great and cost about $25 per person for 3 hour bike tour. If you made it through this thanks for letting me vent. P.S I never did get to see the city from the river seeing it was our last day in Paris. What a bummer"
2022-10-06,5,"My family and I did a tour with Helen two years ago. It was by far the funniest, most informative, and best bike tour we have been on!"
2022-09-06,5,"This was a great experience. The tour was very educational and fun. Emily is a great tour guide and made us feel very confortable. If I could give this a 10 star rating, I would with no hesitation."
2022-09-06,1,Just been hit by one of your bikes whilst walking along the Place du Panthéon. Not even an Apology! Almost ripped my Rucksack of my Shoulder and the Edge of the Handlebar hit me in the Rib Cage. You are an arrogant ignorant company and should not need conducting cycling tours in Historical Areas. The only reason you have 1 Star is because it wouldn't let me post with no star's!
2022-09-06,5,"Great tour! Interesting stories about the history of Paris and much more than that. A lot of good tips on what to visit in Paris. Very positive and active! In particular, thank you to our amazing guide - Ben."
2022-09-06,5,"A great way to see a lot of Paris in a day, Fran was a great, very knowledgeable and enthusiastic guide who made our experience that much better. Will definitely choose bike tours over walking in the future."
2022-09-06,5,My girlfriend and I ABSOLUTELY loved the tour. Our tour guide Ben was the greatest. Down to earth guy and knew Paris very well! The night tour was very fun. I would recommend it to anyone. It's a great way to start your French holiday!
2022-08-06,4,"Wonderful bike tour this morning. Everyone who works here is extremely kind, informative and loves sharing their city."
2022-08-06,5,This is a must do thing to do in Paris. You will see all the sights and sounds of Paris is a fun and efficient way. Nolan was a amazing guide !! Highly recommend!
2022-08-06,2,"The delivery was completely disorganised, a disgrace that a tour company delivered the tickets on the pavement of their shop. It took half an hour for a single person to make more deliveries, going through each voucher and making a mess. The boat trip is a waste for what it's worth and the Eiffel Tower is impressive."
2022-08-06,3,"They offer guided tours of Paris by bike. It was informative, but the waits in the office were long"
2022-08-06,4,"Nolan was our tour guide, and it was so enjoyable. A wonderful way to experience Paris, and it's good value for money too"
2022-07-06,1,"Our guide, Andrew, was not even French with very little knowledge. Just go alone and save the money"
